,frequency
1,10304
2,3986
3,2355
4,1618
5,1223
6,960
7,759
8,682
9,562
10,528
11,450
12,380
14,329
13,310
15,285
17,233
16,228
18,224
19,211
21,183
20,176
22,162
23,145
25,139
24,129
26,128
27,123
28,121
29,106
32,97
34,92
30,90
33,82
36,82
41,75
31,74
38,73
35,71
39,69
37,68
45,67
46,66
48,58
43,58
40,56
52,54
49,54
50,53
44,52
57,51
54,50
42,50
47,50
51,49
58,47
59,45
63,45
61,43
55,43
56,37
60,37
53,36
72,35
69,35
65,33
62,32
64,32
93,28
76,27
103,27
84,27
75,26
80,26
82,26
68,26
71,25
96,25
78,24
70,24
81,24
74,24
77,23
66,23
94,22
67,22
85,22
100,22
90,21
99,21
73,21
87,20
89,20
102,20
97,19
107,19
86,18
112,18
83,18
106,18
120,17
110,17
79,17
95,17
123,17
124,16
134,16
98,16
117,16
88,16
111,16
91,16
148,16
129,15
105,15
109,15
114,14
162,14
154,13
113,13
132,13
146,13
101,13
245,12
151,12
190,12
104,12
128,12
150,12
164,12
121,12
145,12
141,11
153,11
169,11
183,11
125,11
133,11
152,11
155,11
188,11
171,11
131,10
184,10
115,10
140,10
122,10
135,10
108,10
156,10
176,10
244,10
178,10
126,10
127,10
202,9
142,9
130,9
158,9
119,9
201,9
160,9
230,9
161,9
137,9
166,9
179,9
180,9
308,9
149,9
170,8
116,8
263,8
136,8
147,8
163,8
173,8
118,8
199,8
323,7
210,7
143,7
167,7
215,7
226,7
347,7
177,7
174,7
92,7
206,7
224,7
221,7
214,7
248,7
139,7
172,7
312,6
232,6
231,6
138,6
200,6
168,6
186,6
144,6
194,6
271,6
246,6
427,6
185,6
189,6
335,6
195,6
253,6
290,6
257,6
274,6
157,5
236,5
191,5
220,5
175,5
159,5
204,5
270,5
187,5
216,5
282,5
296,5
225,5
313,5
182,5
256,5
241,5
262,5
289,5
292,5
337,5
295,5
449,5
165,5
198,5
261,5
340,5
181,5
249,5
285,5
320,4
300,4
196,4
212,4
332,4
884,4
360,4
252,4
222,4
303,4
251,4
415,4
