,frequency
1,19907
2,17052
3,15193
4,13842
5,12784
6,11946
7,11254
8,10637
9,10121
10,9649
11,9252
12,8885
13,8560
14,8280
15,8003
16,7767
18,7535
17,7315
19,7119
22,6935
21,6751
20,6592
23,6443
24,6312
26,6190
25,6068
27,5950
29,5844
30,5742
28,5642
32,5549
36,5460
38,5373
34,5289
37,5205
43,5124
33,5043
40,4964
35,4893
42,4823
31,4756
44,4696
41,4636
48,4576
39,4518
51,4462
52,4407
54,4356
49,4306
46,4256
47,4206
59,4157
55,4108
65,4061
56,4015
50,3969
57,3925
64,3882
45,3840
61,3799
53,3758
60,3718
70,3681
69,3646
58,3613
63,3580
68,3547
77,3514
66,3482
67,3450
99,3420
73,3391
62,3362
90,3333
72,3305
78,3277
85,3250
71,3224
89,3198
76,3173
79,3148
80,3123
75,3098
93,3073
96,3048
81,3024
74,3001
106,2978
86,2955
84,2934
100,2913
133,2892
82,2872
91,2853
116,2834
102,2815
83,2796
88,2777
114,2758
132,2740
139,2722
95,2704
109,2686
97,2668
94,2651
112,2634
87,2617
103,2600
110,2584
126,2568
115,2552
124,2536
119,2520
101,2504
113,2489
145,2474
127,2459
226,2444
176,2430
105,2416
121,2402
111,2388
118,2374
104,2360
141,2347
164,2334
156,2321
140,2308
172,2295
154,2282
107,2269
137,2256
150,2243
197,2230
135,2217
125,2204
186,2192
117,2180
136,2168
155,2157
130,2146
143,2135
195,2124
120,2113
173,2102
250,2091
187,2080
152,2069
168,2058
162,2048
174,2038
157,2028
142,2018
177,2008
108,1998
92,1988
129,1978
148,1968
180,1959
196,1950
147,1941
194,1932
149,1923
160,1914
128,1905
159,1896
151,1887
214,1879
204,1871
158,1863
203,1855
185,1847
153,1839
264,1831
189,1823
161,1815
98,1807
146,1799
123,1791
163,1783
167,1776
200,1769
269,1762
420,1755
169,1748
144,1741
192,1734
278,1727
138,1720
219,1713
170,1706
202,1699
179,1692
178,1685
175,1678
134,1671
263,1664
257,1657
131,1650
201,1643
247,1636
231,1629
191,1622
216,1616
232,1610
184,1604
182,1598
259,1592
243,1586
224,1580
301,1574
220,1568
252,1562
183,1556
208,1550
253,1544
122,1538
165,1532
193,1526
181,1520
190,1514
222,1508
254,1502
270,1496
318,1490
213,1484
207,1478
199,1472
237,1466
319,1460
228,1454
256,1448
326,1442
234,1436
431,1430
229,1425
218,1420
414,1415
297,1410
171,1405
302,1400
266,1395
362,1390
238,1385
368,1380
166,1375
328,1370
206,1365
375,1360
291,1355
212,1350
439,1345
209,1340
429,1335
273,1330
289,1325
211,1320
349,1315
267,1310
327,1305
383,1300
268,1295
283,1290
355,1285
379,1280
389,1275
198,1271
324,1267
710,1263
454,1259
244,1255
242,1251
280,1247
734,1243
236,1239
284,1235
300,1231
348,1227
428,1223
205,1219
305,1215
241,1211
528,1207
392,1203
239,1199
255,1195
303,1191
335,1187
357,1183
559,1179
341,1175
783,1171
188,1167
539,1163
459,1159
347,1155
424,1151
504,1147
760,1143
467,1139
451,1135
419,1131
275,1127
233,1123
281,1119
345,1115
377,1111
282,1107
346,1103
354,1099
274,1095
210,1091
315,1087
294,1083
517,1080
230,1077
246,1074
378,1071
358,1068
285,1065
363,1062
475,1059
524,1056
556,1053
604,1050
620,1047
1180,1044
365,1041
390,1038
397,1035
461,1032
350,1029
462,1026
990,1023
367,1020
687,1017
331,1014
235,1011
394,1008
277,1005
582,1002
598,999
215,996
279,993
407,990
296,987
360,984
1016,981
217,978
313,975
329,972
457,969
537,966
585,963
681,960
293,957
248,954
610,951
385,948
272,945
384,942
260,939
308,936
468,933
225,930
337,927
353,924
288,921
387,918
245,915
417,912
433,909
642,907
330,905
311,903
801,901
542,899
494,897
316,895
332,893
446,891
430,889
398,887
455,885
314,883
487,881
366,879
364,877
334,875
380,873
599,871
695,869
759,867
295,865
606,863
276,861
1233,859
1134,857
298,855
1054,853
862,851
846,849
1025,847
798,845
484,843
1126,841
866,839
339,837
404,835
388,833
372,831
702,829
737,827
654,825
638,823
292,821
356,819
913,817
721,815
413,813
605,811
611,809
541,807
509,805
493,803
1000,801
577,799
561,797
529,795
1320,793
265,791
1641,789
321,787
333,785
317,783
497,781
369,779
401,777
563,775
221,773
465,771
323,769
632,767
653,765
552,763
685,761
1545,759
626,757
588,755
1472,753
1001,751
684,749
764,747
828,745
1613,743
1373,741
1107,739
857,737
713,735
1004,733
