word : frequency
gossiped : 1
owl-free : 1
bird-watcher : 1
newscaster : 1
weatherman : 1
beady-eyed : 1
severe-looking : 1
s-s-sorry : 1
carousel : 1
skinnier : 1
whats-her-name : 1
sp-spoil : 1
mid-jump : 1
cabbage-smelling : 1
cobra : 1
man-crushing : 1
amigo : 1
longest-ever : 1
whelk : 1
p-p-petunia : 1
gloomy-looking : 1
multilevel : 1
rowboat : 1
gorgon : 1
dratted : 1
dormouse : 1
bungler : 1
crikey : 1
d-defense : 1
d-d-dark : 1
g-getting : 1
g-got : 1
p-pick : 1
b-book : 1
m-myself : 1
self-stirring : 1
pick-me-up : 1
duffer : 1
tongue-tying : 1
viridian : 1
glittery-black : 1
swishy : 1
pliable : 1
bendy : 1
right-handed : 1
beechwood : 1
funny-shaped : 1
red-headed : 1
tenpin : 1
woodcraft : 1
booger-flavored : 1
sniffy : 1
jell-o : 1
half-and-half : 1
all-muggle : 1
n-nothing : 1
scabby : 1
caput : 1
conk : 1
talking-to : 1
wand-waving : 1
aconite : 1
porcupine : 1
three-thirty : 1
tear-streaked : 1
javelin : 1
smarmy : 1
doorpost : 1
different-sized : 1
pea-brain : 1
defrost : 1
belting : 1
gray-faced : 1
well-chosen : 1
chappie : 1
wide-mouthed : 1
fifty-pence : 1
pence : 1
frog-marched : 1
cranberry : 1
admiral : 1
grow-your-own-wart : 1
nearsighted : 1
dive-bombing : 1
refereed : 1
p-place : 1
b-b-but : 1
spiny : 1
hing : 1
silver-blue : 1
wilder-looking : 1
stargazer : 1
half-life : 1
a-creeping : 1
bloodiness : 1
greasily : 1
fully-grown : 1
flying-key : 1
p-p-poor : 1
st-stuttering : 1
golden-brown : 1
best-played : 1
foul-weather : 1
rapturously : 1
m-magic : 1
hocus : 1
wiggly : 1
soapy : 1
salmon-pink : 1
leg-hole : 1
s-sit : 1
worryingly : 1
after-dinner : 1
magicking : 1
freckle-faced : 1
muggle-made : 1
saber-toothed : 1
sorceress : 1
cheekily : 1
betide : 1
knobby : 1
travel-worn : 1
c-car : 1
self-shuffling : 1
flea-bitten : 1
goblin-driven : 1
strawberry-and-peanut-butter : 1
jape : 1
irritable-looking : 1
brawling : 1
mouthwatering : 1
wiper : 1
cajolingly : 1
golf-ball-sized : 1
knuckle-like : 1
aquamarine : 1
delicious-looking : 1
accident-prone : 1
umbrella-sized : 1
internationally : 1
mandragora : 1
teethe : 1
paternally : 1
five-time : 1
hair-care : 1
budgies : 1
up-ended : 1
hand-on : 1
pink-and-gold : 1
bemusedly : 1
biggish : 1
dew-drenched : 1
inks : 1
one-roomed : 1
second-floor : 1
scalawag : 1
rule-breaker : 1
befouling : 1
quick-result : 1
easy-learn : 1
scintillation : 1
yak : 1
roomier : 1
tangerine : 1
invitingly : 1
black-draped : 1
charcoal-black : 1
salver : 1
maggoty : 1
tar-like : 1
glummest : 1
townsfolk : 1
two-week : 1
subcommittee : 1
all-magic : 1
unseal : 1
arrant : 1
gloomiest : 1
agleam : 1
slow-acting : 1
tea-strainer : 1
damp-spotted : 1
store-cupboard : 1
muggy : 1
unseat : 1
roller-coaster : 1
rain-drenched : 1
toddle : 1
tut-tutting : 1
tight-knit : 1
evil-smelling : 1
puffer-fish : 1
resplendent : 1
sportingly : 1
unsporting : 1
quickstep : 1
headlock : 1
matchbox : 1
great-great-great-great-grandson : 1
serpent-tongue : 1
bugbear : 1
black-and-white-striped : 1
hovercraft : 1
claw-footed : 1
decrepit-looking : 1
frost-covered : 1
finalize : 1
doom-laden : 1
shiny-faced : 1
tumbler : 1
disrepute : 1
petulantly : 1
c-cat : 1
p-potion : 1
